Experiment Number,Population,WorkPlaces,HousingUnits,RecFacilities,AvgTravelTimeToWork,AvgLifeExpectancy,MaxTravelTimeToRecFacility,PercentMarket,PercentFastFood,PercentNonFastFood,PercentMale,PercentFemale,PercentObese,PercentOverweight,PercentNormal,PercentUnderweight,Percent5andUnder,Percent5to18,Percent18to65,Percent65andOlder,Restaurants,PercentEatingHabitsHealthy,PercentEatingHabitsMediumCalorie,PercentEatingHabitsHighCalorie,PercentPhysicalActivityNotActive,PercentPhysicalActivityLightlyActive,PercentPhysicalActivityModeratelyActive,PercentPhysicalActivityVeryActive,PercentPhysicalActivityExtraActive,PercentHealthInsuredUnder65,PercentHealthInsuredOver65,PercentHealthConscious_Yes,PercentHealthConscious_No,PercentWorkplaceActivityNone,PercentWorkplaceActivityLight,PercentWorkplaceActivityMod,PercentWorkplaceActivityVery,AverageDrivingVelocity,AverageBikingVelocity,AverageWalkingVelocity,PercentDriveToWork,PercentBikeToWork,PercentWalkToWork,AreaSize,annualNumberOfBirths,annualNewBuildings,MedianIncome,PercentWorkplaces_30MinLunch,PercentWorkplaces_60MinLunch,PercentHealthResponse_ASAP,PercentHealthResponse_DoNothing,NeighborDistance_Miles,PercentPeerPressured_Yes,PercentPeerPressured_No,WantNeighborhoods,NumberOfPatients,Market_highCal_min,Market_medCal_min,Market_lowCal_min,Market_highCal_max,Market_medCal_max,Market_lowCal_max,Market_highCal_mode,Market_medCal_mode,Market_lowCal_mode,FastFood_highCal_min,FastFood_medCal_min,FastFood_lowCal_min,FastFood_highCal_max,FastFood_medCal_max,FastFood_lowCal_max,FastFood_highCal_mode,FastFood_medCal_mode,FastFood_lowCal_mode,NonFastFood_highCal_min,NonFastFood_medCal_min,NonFastFood_lowCal_min,NonFastFood_highCal_max,NonFastFood_medCal_max,NonFastFood_lowCal_max,NonFastFood_highCal_mode,NonFastFood_medCal_mode,NonFastFood_lowCal_mode,PercentCurrentPhysicalActivityLevel_Increase,PercentCurrentPhysicalActivityLevel_Decrease,PercentWeeklyCalorieNeed_Increase,PercentWeeklyCalorieNeed_Decrease,Percent BMI > 30: Year 12
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.162774239
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.187799863
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.155400697
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.186144157
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.156338028
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.146514936
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.160701754
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.18788713
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.190672154
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.198753463
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.196478873
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.1953125
2,1900,64,280,4,55,56,33,90,4,6,46,54,50,22,22,6,0,0,100,0,47,80,3,17,100,0,0,0,0,0,0,40,60,40,57,0,3,28,8,2,50,17,33,11,0,0,30000,10,90,60,40,0,20,80,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,8,5,10,8,0.214285714
