Agent ID,Openness,Agreeableness,Concientiousness,Neuroticism,Systematicity,Sensitivity,Attitude Toward Social Stability,Power,Charm,Terror Management,Narrative Immediacy,Intentionality Perception,Hierarchical Complexity,Purity and Sanctity,Wellbeing for Ingroup,Vigilance Toward Non-Kin,Vigilance Toward Non-Reciprocators,Vigilance Toward Cultural Others,Ritual Mode Variation,Ritual Object Variation,Costly Signaling,CTMextreme
999-0,0.6313541507465588,0.4770883148686592,0.7681330054513261,0.5410492061995882,0.6241451199624554,0.6731569899472227,0.7761781895487198,0.30714851839359625,0.5962201537112519,0.9285355014010012,0.9050451003016476,0.9171121756944234,0.9395996984370032,0.933150308468992,0.9540075893178729,0.9984931794791545,0.9023546559528001,0.9329265484383581,0.9401662191671928,0.9300716857271665,0.9501798888749934,0
998-0,0.4400472595103072,0.6389993693696044,0.39315490081004306,0.5070904996300637,0.38720190407477273,0.6163765614585411,0.033506398739687394,0.18470727854697888,0.8018393663618922,0.9875809282973662,0.9033979968888949,0.9232431101290932,0.9121119551853083,0.9402147746907605,0.9417588237821909,0.9800239470158515,0.9431886868392575,0.9150261856923814,0.947972407071104,0.9418100911391964,0.9149559651506325,1
997-0,0.5170224244265823,0.5335105672031808,0.2997134875958558,0.37564007769882535,0.47722226589102035,0.26455155122615814,-0.7322385530872896,0.43780870750967493,0.2499203506974862,0.9318209629248527,0.9345714572729666,0.9055866237766846,0.9731116759695924,0.9169946262357147,0.9301265229050525,0.9056408296015532,0.9941601012127051,0.9244159711184733,0.9505632075313906,0.9850488945974564,0.9251048184970676,0
996-0,0.3439481268371251,0.5599234489441813,0.40310025146570494,0.5835860823353729,0.49476993724460333,0.4194153442297487,-0.43002904352837695,0.3448833707339213,0.5675485121102697,0.9148075127867156,0.9666156262164725,0.9657618957356934,0.9734353767692681,0.9242666107260304,0.9564941578242985,0.9919119259914758,0.9231730235522364,0.9442600311152577,0.988410428353003,0.9430747905697956,0.9910343034482736,0
995-0,0.539033045127316,0.633986410404655,0.49073163519815716,0.3755501910141073,0.34139203672866647,0.8369228034129172,-0.11859353590832489,0.6423623623724396,0.3082855653652038,0.9753297379425809,0.9034819703049685,0.9043535072756009,0.9038475281300458,0.9192882048322776,0.9832830907944061,0.9371928638478342,0.932211433283864,0.9126551051521244,0.9177623456428596,0.9858366820290722,0.9991779170940203,1
994-0,0.46618871370707493,0.5992689537048829,0.39744600151492526,0.5698597263103563,0.16736874871208862,0.3930502991287139,-0.15126085724692162,0.6003012601704569,0.5487617597403965,0.9584047593276964,0.929430882353414,0.9440290643753251,0.9953323860014596,0.9336033131827507,0.9704117543556876,0.9363938464293956,0.932584088432921,0.9271162725909793,0.9380686637996271,0.9841998312243726,0.957428793597606,1
993-0,0.6289936593593931,0.5912603949725073,0.6000433154810412,0.42789041524560223,0.20191578645715513,0.4334452019979028,0.6539474225315061,0.637358803432079,0.4987944641540482,0.9724088172166627,0.9120709474072157,0.9486121569938838,0.9791211851232005,0.9668119494895117,0.9687849977881944,0.9575846391364868,0.9717025488592487,0.9432871781776807,0.920177756880704,0.9188983318484966,0.9418078957193478,1
992-0,0.5900836645371556,0.1460921176057478,0.3697896771336113,0.6177921231927774,0.6354744670757293,0.780313010228963,-0.5811851466620921,0.47929069493219084,0.5260829679149464,0.9928287506273703,0.9798427783599906,0.9239961055026139,0.9495730413477138,0.9277746329721196,0.9343802124494796,0.9094577206219159,0.9475278682617029,0.9204035567054721,0.9399018143163493,0.9875636290488428,0.9081215798611226,1
991-0,0.29964242468728075,0.49477365107738297,0.9214573092100733,0.4290380876443697,0.5186737671501755,0.44798074487574624,0.25463870698251384,0.1780355633155567,0.6178699865477902,0.9819613278370201,0.9610709816077582,0.9623363483603621,0.9935635255913033,0.9688205840639673,0.9369450898384212,0.9035011697622397,0.9185457579873657,0.9151894879100633,0.9660142591374897,0.9679200738885981,0.9059532585242192,1
990-0,0.49469457515035775,0.5088217198609883,0.5312791648213894,0.3909272199183983,0.30036428182295094,0.5393316474448842,0.08529443663110572,0.5451500281972377,0.6365103156877975,0.9694314425216722,0.9598011494302163,0.9599857806355921,0.9404557595515642,0.9814128987013737,0.927332508327696,0.9222553810767878,0.9561460152144392,0.9056223181553166,0.9522197931952552,0.9414704840875002,0.9932118299454373,1
